score_mode	temperature	distance	raw_energy	log_likelihood_like_score	normalized_relative_weight	monotonic_nonincreasing
fdg_flat	0.5	1.9600000000000002	0.21160000000000018	-0.42320000000000035	1.0798260895767229	0
fdg_flat	0.5	1.9800000000000002	0.2304000000000002	-0.4608000000000004	1.0399784585436835	0
fdg_flat	0.5	2.0	0.25	-0.5	1.0	0
fdg_flat	0.5	2.02	0.2703846153846154	-0.5407692307692308	0.9600506545373333	0
fdg_flat	0.5	2.04	0.2914814814814815	-0.582962962962963	0.9203852349309013	0
fdg_flat	0.5	2.06	0.3132142857142858	-0.6264285714285716	0.8812370928021438	0
fdg_flat	0.5	2.08	0.33551724137931044	-0.6710344827586209	0.8427925111598187	0
fdg_flat	0.5	2.1	0.35833333333333345	-0.7166666666666669	0.8051983240180703	0
fdg_flat	0.5	2.12	0.38161290322580654	-0.7632258064516131	0.7685683300281658	0
fdg_flat	0.5	2.14	0.4053125000000002	-0.8106250000000004	0.7329886950981681	0
fdg_flat	0.5	2.16	0.42939393939393955	-0.8587878787878791	0.6985225070784271	0
fdg_flat	0.5	2.18	0.4538235294117649	-0.9076470588235298	0.665213618672464	0
fdg_flat	0.5	2.2	0.47857142857142876	-0.9571428571428575	0.6330898921891811	0
fdg_flat	0.5	2.22	0.5036111111111113	-1.0072222222222227	0.6021659409601222	0
fdg_flat	0.5	2.24	0.5289189189189192	-1.0578378378378384	0.5724454466217089	0
fdg_flat	0.5	2.2600000000000002	0.5544736842105267	-1.1089473684210533	0.5439231184887987	0
fdg_flat	0.5	2.2800000000000002	0.5802564102564106	-1.1605128205128212	0.5165863504757195	0
fdg_flat	0.5	2.3000000000000003	0.6062500000000004	-1.2125000000000008	0.49041662207590575	0
fdg_flat	0.5	2.3200000000000003	0.6324390243902442	-1.2648780487804885	0.4653906824750628	0
fdg_flat	0.5	2.3400000000000003	0.6588095238095242	-1.3176190476190484	0.44148155068286016	0
fdg_flat	0.5	2.3600000000000003	0.6853488372093027	-1.3706976744186055	0.4186593594076341	0
fdg_flat	0.5	2.3800000000000003	0.712045454545455	-1.42409090909091	0.3968920660888654	0
fdg_flat	0.5	2.4000000000000004	0.7388888888888894	-1.4777777777777787	0.37614605089640624	0
fdg_flat	0.5	2.42	0.7658695652173912	-1.5317391304347825	0.3563866184828494	0
fdg_flat	0.5	2.44	0.7929787234042552	-1.5859574468085105	0.3375784177368263	0
fdg_flat	0.5	2.46	0.8202083333333333	-1.6404166666666666	0.31968579164875954	0
fdg_flat	0.5	2.48	0.8475510204081632	-1.6951020408163264	0.30267306759942575	0
fdg_flat	0.5	2.5	0.875	-1.75	0.2865047968601901	0
fdg_flat	0.5	2.52	0.9025490196078432	-1.8050980392156863	0.2711459508061186	0
fdg_flat	0.5	2.54	0.9301923076923078	-1.8603846153846155	0.2565620802514639	0
fdg_flat	0.5	2.56	0.9579245283018869	-1.9158490566037738	0.24271944338982862	0
fdg_flat	0.5	2.58	0.9857407407407408	-1.9714814814814816	0.22958510703251991	0
fdg_flat	0.5	2.6	1.0136363636363637	-2.0272727272727273	0.21712702516648455	0
fdg_flat	0.5	2.62	1.041607142857143	-2.083214285714286	0.2053140982796339	0
fdg_flat	0.5	2.64	1.0696491228070177	-2.1392982456140355	0.19411621641116383	0
fdg_flat	0.5	2.66	1.0977586206896555	-2.195517241379311	0.18350428846496566	0
fdg_flat	0.5	2.68	1.1259322033898307	-2.2518644067796614	0.17345025996475089	0
fdg_flat	0.5	2.7	1.154166666666667	-2.308333333333334	0.16392712112111632	0
fdg_flat	0.5	2.72	1.182459016393443	-2.364918032786886	0.15490890681591216	0
fdg_flat	0.5	2.74	1.2108064516129036	-2.421612903225807	0.14637068988156143	0
fdg_flat	0.5	2.7600000000000002	1.2392063492063494	-2.478412698412699	0.13828856885703855	0
fdg_flat	0.5	2.7800000000000002	1.2676562500000004	-2.5353125000000007	0.13063965123346077	0
fdg_flat	0.5	2.8000000000000003	1.2961538461538464	-2.592307692307693	0.123402033056817	0
