source	configuration	split_mode	seed	n_train	n_heldout	n_heldout_signal	blind_heldout_pseudo_nll	blind_heldout_score_kernel_energy	blind_heldout_pmax_surprisal	raw_gauge_exact_top1_accuracy_eval_only	raw_gauge_same_cross_accuracy_eval_only	exact_top1_accuracy_eval_only	same_cross_accuracy_eval_only	exact_log_loss_eval_only	same_cross_log_loss_eval_only	exact_ece_eval_only	same_cross_ece_eval_only	unordered_structure_distance_spearman_eval_only	runtime_seconds	converged	truth_used_in_training_or_selection	contact_metric_gauge_policy	heldout_fit_status	exact_coverage_at_precision_0.55_eval_only	exact_coverage_at_precision_0.60_eval_only	exact_coverage_at_precision_0.70_eval_only	exact_coverage_at_precision_0.80_eval_only	exact_coverage_at_precision_0.90_eval_only	same_cross_coverage_at_precision_0.55_eval_only	same_cross_coverage_at_precision_0.60_eval_only	same_cross_coverage_at_precision_0.70_eval_only	same_cross_coverage_at_precision_0.80_eval_only	same_cross_coverage_at_precision_0.90_eval_only	exact_signal_aware_coverage_at_precision_0.55_eval_only	exact_signal_aware_coverage_at_precision_0.60_eval_only	exact_signal_aware_coverage_at_precision_0.70_eval_only	exact_signal_aware_coverage_at_precision_0.80_eval_only	exact_signal_aware_coverage_at_precision_0.90_eval_only	same_cross_signal_aware_coverage_at_precision_0.55_eval_only	same_cross_signal_aware_coverage_at_precision_0.60_eval_only	same_cross_signal_aware_coverage_at_precision_0.70_eval_only	same_cross_signal_aware_coverage_at_precision_0.80_eval_only	same_cross_signal_aware_coverage_at_precision_0.90_eval_only	historical_scope	pmax_ge_0p9_accuracy_eval_only	pmax_ge_0p9_recall_eval_only
synthetic_model_mismatched	blind_midpoint_delta_pairwise	molecule_or_readchain	59	2400	600	548	1.6064185833765279	1.6064185833765279	0.8353372662046067	0.29744525547445255	0.5583941605839416	0.3010948905109489	0.5857664233576643	1.482632099963258	0.7151172097670032	0.14741839211067276	0.11245869996760004	0.7826713380309412	0.8057300350628793	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	0.9361313868613139	0.18795620437956204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9361313868613139	0.18795620437956204	0.0	0.0			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	molecule_or_readchain	71	2400	600	548	1.5663065397885758	1.5663065397885758	0.8048080156324726	0.2427007299270073	0.5638686131386861	0.30474452554744524	0.5675182481751825	1.4364054318338175	0.7245739574403136	0.15455530433990516	0.12550513585860246	0.8403291533079355	0.8002888509072363	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.010948905109489052	0.010948905109489052	0.0	0.0	0.0	1.0	0.7445255474452555	0.2737226277372263	0.040145985401459854	0.016423357664233577	0.010948905109489052	0.010948905109489052	0.0	0.0	0.0	1.0	0.7445255474452555	0.2737226277372263	0.040145985401459854	0.016423357664233577			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	molecule_or_readchain	89	2400	600	548	1.6069980507812647	1.6069980507812647	0.9346322301359021	0.3102189781021898	0.5766423357664233	0.2956204379562044	0.5602189781021898	1.4076116738472861	0.6986578964799076	0.1079004459446359	0.11066846016314887	0.8308674536836566	0.8391042361035943	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	0.7755474452554745	0.16970802919708028	0.07481751824817519	0.016423357664233577	0.0	0.0	0.0	0.0	0.0	1.0	0.7755474452554745	0.16970802919708028	0.07481751824817519	0.016423357664233577			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	molecule_or_readchain	101	2400	600	548	1.5707809701604012	1.5707809701604012	0.938655742261636	0.24087591240875914	0.5602189781021898	0.31204379562043794	0.5985401459854015	1.3980483867350484	0.6708318313006292	0.09179102839562263	0.04761386052056879	0.8644727000747944	0.8611481878906488	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.009124087591240875	0.009124087591240875	0.0072992700729927005	0.005474452554744526	0.005474452554744526	1.0	0.9762773722627737	0.30474452554744524	0.06934306569343066	0.016423357664233577	0.009124087591240875	0.009124087591240875	0.0072992700729927005	0.005474452554744526	0.005474452554744526	1.0	0.9762773722627737	0.30474452554744524	0.06934306569343066	0.016423357664233577			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	exact_haploid_bin_pair	17	2384	616	570	1.3786573165553957	1.3786573165553957	0.7672798188440658	0.3140350877192982	0.6596491228070176	0.3508771929824561	0.6614035087719298	1.423624024924475	0.7259045592110372	0.12494713396377516	0.17533850797276607	0.8262824017577395	0.8566596838645637	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.8280701754385965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.8280701754385965	0.0	0.0			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	exact_haploid_bin_pair	29	2384	616	570	1.5262337711022878	1.5262337711022878	0.5807661243555751	0.34210526315789475	0.6614035087719298	0.3298245614035088	0.6456140350877193	1.6638937555111162	0.9042271647787863	0.23142820872633313	0.25614704817518646	0.7195344381897152	0.832264294847846	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.008771929824561403	0.008771929824561403	0.0035087719298245615	0.0035087719298245615	0.0035087719298245615	1.0	1.0	0.8280701754385965	0.15087719298245614	0.0	0.008771929824561403	0.008771929824561403	0.0035087719298245615	0.0035087719298245615	0.0035087719298245615	1.0	1.0	0.8280701754385965	0.15087719298245614	0.0			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	exact_haploid_bin_pair	43	2384	616	570	1.4692822754903752	1.4692822754903752	0.7304422363210933	0.3157894736842105	0.6596491228070176	0.3140350877192982	0.6614035087719298	1.5775002518145527	0.8723584624146623	0.17441052781260188	0.22549252663707928	0.6476770751777642	0.8209558841772377	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.8157894736842105	0.05263157894736842	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.8157894736842105	0.05263157894736842	0.05263157894736842			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	exact_haploid_bin_pair	59	2384	616	570	1.4191976208518102	1.4191976208518102	0.7240585183638897	0.3192982456140351	0.6526315789473685	0.3333333333333333	0.6526315789473685	1.537165520187452	0.8201117968278151	0.1577410746437491	0.22793767811724805	0.7057600370909823	0.8252003127709031	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.8280701754385965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.8280701754385965	0.0	0.0			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	exact_haploid_bin_pair	71	2384	616	570	1.4176159910869501	1.4176159910869501	0.6589412927387731	0.33157894736842103	0.6614035087719298	0.32280701754385965	0.6578947368421053	1.5769003537522226	0.808082621031624	0.20229561323614015	0.21709828749944643	0.7205509410524567	0.8385477527044713	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.843859649122807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.843859649122807	0.0	0.0			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	exact_haploid_bin_pair	89	2384	616	570	1.4812419340193814	1.4812419340193814	0.6658270636839434	0.3508771929824561	0.6701754385964912	0.3157894736842105	0.6631578947368421	1.5420536327920018	0.8164443782390279	0.20415534504119787	0.21386611509366596	0.7525751551654004	0.8181647146120667	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.8280701754385965	0.44035087719298244	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.8280701754385965	0.44035087719298244	0.0			
