experiment	configuration	scope	target	minimum_confidence	callable_count	correct_count	coverage	precision	correct_recall	truth_used_in_inference
057	oracle_coords_fdg_flat	trans	exact	0.05	143977	23886	1.0	0.16590149815595545	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.1	143977	23886	1.0	0.16590149815595545	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.15000000000000002	143977	23886	1.0	0.16590149815595545	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.2	143977	23886	1.0	0.16590149815595545	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.25	143977	23886	1.0	0.16590149815595545	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.30000000000000004	143894	23862	0.9994235190342902	0.16583040293549417	0.9989952273298166	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.35000000000000003	143215	23709	0.9947074880015558	0.16554830150473065	0.9925898015573976	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.4	140950	23176	0.9789758086361016	0.16442710180915218	0.9702754751737419	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.45	136833	22188	0.9503809636261348	0.16215386639187915	0.9289123335845265	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.5	129562	20601	0.8998798419191955	0.15900495515660457	0.8624717407686511	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.55	119424	18365	0.8294658174569549	0.15377980975348338	0.7688604203299003	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.6000000000000001	110528	16401	0.7676781708189503	0.14838773885350318	0.6866365234865611	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.65	101571	14513	0.7054668453989179	0.14288527237105078	0.6075944067654693	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.7000000000000001	92736	12672	0.6441028775429409	0.13664596273291926	0.5305199698568199	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.75	83881	10862	0.5825999986108893	0.12949297218678843	0.454743364313824	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.8	74591	9036	0.5180758037742139	0.1211406201820595	0.37829691032403917	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.8500000000000001	64789	7150	0.4499954853900276	0.1103582398246616	0.29933852465879596	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.9	53980	5199	0.37492099432548254	0.09631344942571322	0.21765887967847275	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.9500000000000001	40964	3036	0.2845176660160998	0.07411385606874328	0.12710374277819644	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	1.0	0	0	0.0	nan	0.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.0	143977	95283	1.0	0.6617932030810477	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.05	143977	95283	1.0	0.6617932030810477	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.1	143977	95283	1.0	0.6617932030810477	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.15000000000000002	143977	95283	1.0	0.6617932030810477	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.2	143977	95283	1.0	0.6617932030810477	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.25	143977	95283	1.0	0.6617932030810477	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.30000000000000004	143977	95283	1.0	0.6617932030810477	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.35000000000000003	143977	95283	1.0	0.6617932030810477	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.4	143977	95283	1.0	0.6617932030810477	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.45	143977	95283	1.0	0.6617932030810477	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.5	143977	95283	1.0	0.6617932030810477	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.55	135876	91048	0.9437340686359627	0.6700815449380317	0.9555534565452389	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.6000000000000001	128572	87240	0.8930037436535002	0.6785303176430327	0.9155883001164951	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.65	121312	83316	0.8425790230384019	0.6867910841466631	0.8744057177041025	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.7000000000000001	113598	79041	0.7890010209964091	0.6957957006285322	0.8295393721860143	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.75	105486	74494	0.7326586885405307	0.7061979788787137	0.7818183726373015	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.8	96423	69365	0.6697111344173028	0.7193823050516993	0.7279892530671789	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.8500000000000001	86085	63237	0.5979079991943158	0.7345879073009235	0.6636755769654608	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.9	73881	55822	0.5131444605735639	0.7555663837793208	0.585854769476192	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	0.9500000000000001	57452	45493	0.39903595713204193	0.7918436259834296	0.4774513816735409	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	same_cross	1.0	14	14	9.723775325225556e-05	1.0	0.00014693072216449943	ORACLE_COORDINATES
057	oracle_coords_monotone_log	all	exact	0.0	350034	66052	1.0	0.1887016689807276	1.0	ORACLE_COORDINATES
057	oracle_coords_monotone_log	all	exact	0.05	350034	66052	1.0	0.1887016689807276	1.0	ORACLE_COORDINATES
