experiment	component	configuration	scope	metric	value	n	truth_used_in_inference
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_accuracy_ci95_upper	0.2228911370262459	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_log_loss	1.981685660341796	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_brier	1.0231508485328125	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_accuracy	0.9770354804738495	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_random_tie_expected_accuracy	0.9770403334999539	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_accuracy_ci95_lower	0.9763797795946313	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_accuracy_ci95_upper	0.9776733952260065	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_log_loss	0.18089467310507212	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_brier	0.04222127720956505	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	mean_entropy	0.5312017439504322	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_ece	0.479043064597053	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_ece	0.015017892627868297	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	mean_exact_confidence	0.7000668068956275	206057	ORACLE_COORDINATES
