experiment	component	configuration	scope	metric	bin_index	lower	upper	count	coverage	mean_confidence	accuracy
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	same_cross	7	0.7000000000000001	0.8	4001	0.027789160768733896	0.7518799238439996	0.5213696575856036
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	same_cross	8	0.8	0.9	5736	0.03983969661820985	0.8554359876588077	0.5402719665271967
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	same_cross	9	0.9	1.0	128047	0.8893573279065407	0.9944089366336902	0.6793599225284466
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	exact	0	0.0	0.1	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	exact	1	0.1	0.2	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	exact	2	0.2	0.30000000000000004	2292	0.006547935343423782	0.28714932255655395	0.2530541012216405
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	exact	3	0.30000000000000004	0.4	29240	0.08353474233931561	0.3558608432999942	0.24121067031463747
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	exact	4	0.4	0.5	36691	0.10482124593610906	0.4522748721287056	0.25150581886566187
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	exact	5	0.5	0.6000000000000001	55494	0.15853888479404857	0.5489614131206583	0.32672000576638915
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	exact	6	0.6000000000000001	0.7000000000000001	51459	0.147011433175063	0.650411573986135	0.24932470510503507
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	exact	7	0.7000000000000001	0.8	53955	0.1541421690464355	0.7503357398966951	0.17585024557501622
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	exact	8	0.8	0.9	61783	0.17650571087380082	0.8514043246848679	0.09989803020248289
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	exact	9	0.9	1.0	59120	0.16889787849180365	0.942919711088737	0.04347090663058187
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	same_cross	0	0.0	0.1	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	same_cross	1	0.1	0.2	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	same_cross	2	0.2	0.30000000000000004	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	same_cross	3	0.30000000000000004	0.4	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	same_cross	4	0.4	0.5	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	same_cross	5	0.5	0.6000000000000001	39227	0.11206625642080484	0.549299875697974	0.5125041425548729
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	same_cross	6	0.6000000000000001	0.7000000000000001	32347	0.09241102292920117	0.6488873607658231	0.5628342659288342
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	same_cross	7	0.7000000000000001	0.8	28081	0.08022363541827365	0.7494219600025342	0.6394359175243047
