run_id	config_name	status	strict_pairs_only_candidate	boundary_reasons	model_top1_accuracy_genome_trans	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_all	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	input_contact_source	sample	uses_phase_labels	uses_charm_or_reference	uses_charm_for_training	readgroup_mode	fixed_posterior	manifest_path	summary_path
032-20260619_122253-p9016_trans_contact_scaling_1m	p9016_pcgamma1_tk1p5_td0p75_sep0_ieps0p5_noise0_seed17	OK	1	OK	0.324121	0.564902	0.465863	0.53146	0.771768	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/outputs/p9016_pcgamma1_tk1p5_td0p75_sep0_ieps0p5_noise0_seed17/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/summary.tsv
030-20260619_081645-p9016_global_copytrack_1m	p9016_pcgamma1_sep0_lct0_gct0p003_ieps0p5_noise0_seed17	OK	1	OK	0.323795	0.568687	0.467957	0.522313	0.797256	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0_gct0p003_ieps0p5_noise0_seed17/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/summary.tsv
049-20260620_103248-p9016_trans_dscale_gamma_1m	p9016_transgamma_g0p25_td0p75_seed17_best035	OK	1	OK	0.323663	0.559059	0.462235	0.531627	0.765965	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0p25_td0p75_seed17_best035/p9016_transgamma_g0p25_td0p75_seed17_best035/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/summary.tsv
019-20260618_224538-p9016_copytrack_continuity_1m	p9016_pcgamma1_msep1_lsep1_copytrack0p01_ieps0p5_noise0_seed17	OK	1	OK	0.323593	0.571138	0.469317	0.529119	0.796419	raw_pairs	P9016	0	0	0	NA	NA	/mnt/ssd/zliu/phase3/test_res/019-20260618_224538-p9016_copytrack_continuity_1m/outputs/p9016_pcgamma1_msep1_lsep1_copytrack0p01_ieps0p5_noise0_seed17/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/019-20260618_224538-p9016_copytrack_continuity_1m/summary.tsv
031-20260619_105814-p9016_confidence_boost_pairs_1m	p9016_pcgamma1_approved_msep1_lsep1_ieps0p5_noise0_seed17	OK	1	OK	0.323489	0.568061	0.467463	0.529216	0.79463	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/031-20260619_105814-p9016_confidence_boost_pairs_1m/outputs/p9016_pcgamma1_approved_msep1_lsep1_ieps0p5_noise0_seed17/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/031-20260619_105814-p9016_confidence_boost_pairs_1m/summary.tsv
030-20260619_081645-p9016_global_copytrack_1m	p9016_pcgamma1_sep0_lct0p03_gct0p01_ieps0p5_noise0_seed17	OK	1	OK	0.323461	0.571225	0.469314	0.527619	0.791962	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/outputs/p9016_pcgamma1_sep0_lct0p03_gct0p01_ieps0p5_noise0_seed17/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/030-20260619_081645-p9016_global_copytrack_1m/summary.tsv
031-20260619_105814-p9016_confidence_boost_pairs_1m	p9016_pcgamma1_confboost_pmax_margin_entropy_top0p02_b2_sep0_ieps0p5_noise0_seed17	OK	0	approved_p9016_pairs_unverified	0.322961	0.557283	0.460901	0.534947	0.747853	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/031-20260619_105814-p9016_confidence_boost_pairs_1m/outputs/p9016_pcgamma1_confboost_pmax_margin_entropy_top0p02_b2_sep0_ieps0p5_noise0_seed17/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/031-20260619_105814-p9016_confidence_boost_pairs_1m/summary.tsv
045-20260620_055343-p9016_raw_heldout_selection_1m	p9016_heldout_chrpair_m0p5_p4_w10_seed23_noise0p05	OK	1	OK	0.322891	0.56757	0.470084	0.535674	0.795929	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_chrpair_m0p5_p4_w10_seed23_noise0p05/p9016_heldout_chrpair_m0p5_p4_w10_seed23_noise0p05/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/summary.tsv
014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m	p9016_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17	OK	1	OK	0.322774	0.572123	0.46956	0.530029	0.796762	raw_pairs	P9016	0	0	0	NA	NA	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P9016/p9016_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/summary.tsv
034-20260619_140108-p9016_entropy_rho_temperature_1m	p9016_pcgamma1_rho_entropy_floor0p5_temp2to1_td1_sep0	OK	1	OK	0.322774	0.518536	0.438015	0.520361	0.590908	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_floor0p5_temp2to1_td1_sep0/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/summary.tsv
