sample	config_name	status	backend	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	bin_size_bp	init_mode	init_seed	init_eps	init_noise_scale	prior_mode	rho_train_mode	d_scale_mode	dscale_mode	dscale_effective_count_formula	d_scale_posterior_gamma	dscale_posterior_gamma	dscale_probability_weighted	edge_k_probability_weighted	d_scale_eps_count	min_sep_unit	lambda_sep	temperature_start	temperature_end	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	final_mean_entropy	final_mean_pU	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_sep_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	sep_p01	sep_p05	sep_p10	sep_median	sep_p90	n_sep_below_min	frac_sep_below_min	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	p90_accuracy_genome_all	p90_recall_genome_all	model_top1_cis_recon_mean_distance	truth_or_ref_top1_cis_mean_distance	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch	copytrack_median_projection_run_length
P9016	p9016_pcgamma0_sep_off_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P9016/p9016_pcgamma0_sep_off_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P9016/p9016_pcgamma0_sep_off_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^0	0	0	0	1	9.99999997e-07	0	0	1	1	0	0	3.43938279	0.0775339454	11.5075932	0.804043949	0.579995096	23576.3105	17795.4492	212.602631	0	0	109407.297	0	0.228211001	0.487044543	0.806757867	3.59693146	5.60395432	0	0	0.410629	0.496261	0.288074	0.722213	0.87484	0.503775	0.57727	NA	NA	NA	NA	0.48704454	3.59693147	0.761401115	0.993089603	0.00956754688	0.0283199388	6
P9016	p9016_pcgamma0p25_sep_off_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P9016/p9016_pcgamma0p25_sep_off_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P9016/p9016_pcgamma0p25_sep_off_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^0.25	0.25	0.25	1	1	9.99999997e-07	0	0	1	1	0	0	3.8365283	0.106479555	11.5988703	0.725981593	0.523685038	21513.1934	17781.1934	219.765015	0	0	105233.508	0	0.450490594	1.00029325	1.68027973	4.08829689	5.43448353	0	0	0.42309	0.504749	0.306223	0.735709	0.886405	0.520034	0.607277	NA	NA	NA	NA	1.00029334	4.08829678	0.870787175	0.99388738	0.00841944126	0.0126291619	35
P9016	p9016_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P9016/p9016_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P9016/p9016_pcgamma0p5_msep1_lsep0p5_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^0.5	0.5	0.5	1	1	9.99999997e-07	1	0.5	1	1	0	0	4.45830822	0.46203199	12.26085	0.661850154	0.477423966	19246.4238	16658.5508	99.090538	0.622676849	12.4817028	98007.4141	0.000127354679	1.09033453	2.11252952	2.70996881	4.55900288	5.78487253	23	0.00873528328	0.446251	0.541675	0.309681	0.770259	0.942467	0.523799	0.751263	NA	NA	NA	NA	2.1125295	4.55900263	0.935763264	0.994977382	0.00650593188	0.00803673938	61
P9016	p9016_pcgamma0p5_msep1_lsep1_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P9016/p9016_pcgamma0p5_msep1_lsep1_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P9016/p9016_pcgamma0p5_msep1_lsep1_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^0.5	0.5	0.5	1	1	9.99999997e-07	1	1	1	1	0	0	4.61278582	0.544398665	12.6360397	0.638747096	0.460758626	18648.918	16568.627	177.158234	1.5972476	33.0022659	98773.8594	0.000334119433	0.99635011	2.08213711	3.16617775	4.74970865	5.75674677	30	0.0113938469	0.45209	0.547737	0.315203	0.776339	0.955163	0.52041	0.77686	NA	NA	NA	NA	2.08213701	4.74970877	0.947827759	0.995223511	0.003061615	0.00344431688	99
P9016	p9016_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P9016/p9016_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P9016/p9016_pcgamma0p5_sep_off_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^0.5	0.5	0.5	1	1	9.99999997e-07	0	0	1	1	0	0	4.55422401	0.239052653	11.7798643	0.644453108	0.464874685	18531.6113	16197.752	165.023804	0	0	97089.1172	0	0.821869671	2.15219688	2.82707143	4.69314766	5.87819099	0	0	0.446245	0.536662	0.316842	0.769251	0.934062	0.533377	0.727488	NA	NA	NA	NA	2.15219685	4.6931474	0.943909542	0.994938652	0.003061615	0.00803673938	54
P9016	p9016_pcgamma0p75_sep_off_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P9016/p9016_pcgamma0p75_sep_off_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P9016/p9016_pcgamma0p75_sep_off_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^0.75	0.75	0.75	1	1	9.99999997e-07	0	0	1	1	0	0	4.96309948	1.12510908	12.3292437	0.617134631	0.445168525	17143.6973	15550.6182	82.7648773	0	0	92064.6016	0	2.80172825	3.51288509	3.80467606	4.90266466	6.12866783	0	0	0.457318	0.563034	0.306021	0.780838	0.968989	0.511561	0.797652	NA	NA	NA	NA	3.51288521	4.90266453	0.967000304	0.995172549	0.00076540375	0.00574052813	91
P9016	p9016_pcgamma1_msep1_lsep0p5_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P9016/p9016_pcgamma1_msep1_lsep0p5_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P9016/p9016_pcgamma1_msep1_lsep0p5_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^1	1	1	1	1	9.99999997e-07	1	0.5	1	1	0	0	4.96726274	1.38624048	11.5715647	0.597418725	0.430946529	16258.3643	14889.9453	105.36116	0	0	87794.875	0	2.86618996	3.67749	3.92632723	4.88891459	5.99969196	0	0	0.472694	0.56745	0.337082	0.791906	0.970722	0.535988	0.798876	NA	NA	NA	NA	3.67748984	4.88891447	0.958025226	0.993482266	0.0015308075	0.0015308075	123.5
P9016	p9016_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P9016/p9016_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P9016/p9016_pcgamma1_msep1_lsep1_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^1	1	1	1	1	9.99999997e-07	1	1	1	1	0	0	4.93934774	1.35799825	13.2605476	0.596827805	0.430520266	16308.5762	14888.4092	115.569717	0	0	87522.0781	0	2.80490685	3.58317113	3.91522884	4.89057064	5.96308041	0	0	0.467915	0.567741	0.325045	0.787912	0.969877	0.527487	0.794501	NA	NA	NA	NA	3.58317095	4.89057088	0.957556614	0.993425021	0.00191350938	0.00267891313	118
P9016	p9016_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P9016/p9016_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P9016/p9016_pcgamma1_msep1p5_lsep1_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^1	1	1	1	1	9.99999997e-07	1.5	1	1	1	0	0	4.92633867	1.31952798	12.7667646	0.597607255	0.431082517	16341.8652	14969.0664	129.392654	0.0366948172	1.39567244	88088.9844	1.5843893e-05	2.87167001	3.53292322	3.87148499	4.87751102	5.92180538	2	0.000759589835	0.46956	0.572123	0.322774	0.788866	0.969722	0.530029	0.796762	NA	NA	NA	NA	3.53292304	4.87751123	0.957050974	0.99349248	0.00191350938	0.00229621125	121
P9016	p9016_pcgamma1_sep_off_ieps0p5_noise0_seed17	OK	gpu	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/outputs/P9016/p9016_pcgamma1_sep_off_ieps0p5_noise0_seed17	/mnt/ssd/zliu/phase3/test_res/014-20260617_205632-p9016_p1006_dscale_gamma_sep_1m/eval/P9016/p9016_pcgamma1_sep_off_ieps0p5_noise0_seed17	0ec1ebad10b1d7eea082841b6bfbd93135d9de49	10	b02d8094a49f72567b685870a6496be4c78f49cb012ba8fb9e73ca5b3887c95f	1000000	unphased_scaffold_split	17	0.5	0	uniform	constant	posterior_count	posterior_count	n_raw*posterior_prob^1	1	1	1	1	9.99999997e-07	0	0	1	1	0	0	5.01577425	1.52262402	12.7441635	0.607262909	0.438047558	16168.7539	14695.1943	108.585625	0	0	87100.9062	0	2.79943323	3.72325063	3.9662981	4.92348385	6.18973923	0	0	0.464812	0.569275	0.315307	0.781278	0.969591	0.511769	0.80079	NA	NA	NA	NA	3.7232507	4.92348354	0.958396692	0.993929635	0.00191350938	0.003061615	112
