condition_id	diagram	generator_family	homolog_separation	contacts_per_cell	cis_fraction	background_fraction	resolution_bp	chromosome_count	chromosome_length_bins	readchain_length	molecule_count	count_overdispersion	anchor_fraction	base_seed	replicate_seeds	replicates	grid_policy	grid_stage	truth_used_in_inference	likelihood_match_status
trans_fraction_x_background__well_specified__d1200__sep1__cis0.5__bg0.2__a0__r2__m0	trans_fraction_x_background	well_specified	1.0	1200	0.5	0.2	1000000	3	10	2	0	0.0	0.0	17	3082325658,3082326667,3082327676	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
trans_fraction_x_background__well_specified__d1200__sep1__cis0.5__bg0.5__a0__r2__m0	trans_fraction_x_background	well_specified	1.0	1200	0.5	0.5	1000000	3	10	2	0	0.0	0.0	17	1538147765,1538148774,1538149783	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
trans_fraction_x_background__well_specified__d1200__sep1__cis0.1__bg0__a0__r2__m0	trans_fraction_x_background	well_specified	1.0	1200	0.09999999999999998	0.0	1000000	3	10	2	0	0.0	0.0	17	3397063771,3397064780,3397065789	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
trans_fraction_x_background__well_specified__d1200__sep1__cis0.1__bg0.2__a0__r2__m0	trans_fraction_x_background	well_specified	1.0	1200	0.09999999999999998	0.2	1000000	3	10	2	0	0.0	0.0	17	1634632299,1634633308,1634634317	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
trans_fraction_x_background__well_specified__d1200__sep1__cis0.1__bg0.5__a0__r2__m0	trans_fraction_x_background	well_specified	1.0	1200	0.09999999999999998	0.5	1000000	3	10	2	0	0.0	0.0	17	1540952214,1540953223,1540954232	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d500__sep1__cis0.65__bg0.05__a0__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	500	0.65	0.05	1000000	3	10	2	0	0.0	0.0	17	1611502944,1611503953,1611504962	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d2500__sep1__cis0.65__bg0.05__a0__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	2500	0.65	0.05	1000000	3	10	2	0	0.0	0.0	17	88656579,88657588,88658597	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d10000__sep1__cis0.65__bg0.05__a0__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	10000	0.65	0.05	1000000	3	10	2	0	0.0	0.0	17	101610223,101611232,101612241	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d500__sep1__cis0.65__bg0.05__a0.001__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	500	0.65	0.05	1000000	3	10	2	0	0.0	0.001	17	1611502944,1611503953,1611504962	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d2500__sep1__cis0.65__bg0.05__a0.001__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	2500	0.65	0.05	1000000	3	10	2	0	0.0	0.001	17	88656579,88657588,88658597	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
